latitude,longitude,name,color
33.9703886833,-81.0409769074,,#FFF00
33.9705298549,-81.0411897253,,#FFF00
33.9705651478,-81.0411471617,,#FFF00
33.9707063195,-81.0412322889,,#FFF00
33.9708474911,-81.0414025432,,#FFF00
33.9710239556,-81.0414876703,,#FFF00
33.9711651272,-81.0416579247,,#FFF00
33.971271006,-81.0417430518,,#FFF00
33.9714121776,-81.0419133061,,#FFF00
33.9714121776,-81.0418707425,,#FFF00
33.9715533492,-81.0419133061,,#FFF00
33.9716592279,-81.0420409969,,#FFF00
33.9717651066,-81.0420835604,,#FFF00
33.9719415712,-81.0422963783,,#FFF00
33.9720827428,-81.0423815055,,#FFF00
33.9722592073,-81.042636887,,#FFF00
33.9725415506,-81.0428497049,,#FFF00
33.9725415506,-81.0428922684,,#FFF00
33.972753308,-81.0431476499,,#FFF00
33.9730356512,-81.0434030314,,#FFF00
33.9732827016,-81.0436584129,,#FFF00
33.9735650448,-81.0438712308,,#FFF00
33.9735650448,-81.0439137943,,#FFF00
33.9737768022,-81.0441691758,,#FFF00
33.9740591455,-81.0443819937,,#FFF00
33.9742709029,-81.0446799388,,#FFF00
33.9745885391,-81.0448501931,,#FFF00
33.9748002965,-81.0451055746,,#FFF00
33.9748355894,-81.045063011,,#FFF00
33.9746591249,-81.0447650659,,#FFF00
33.9743061958,-81.0445948116,,#FFF00
33.9740944384,-81.0443394301,,#FFF00
33.9738120952,-81.0440840487,,#FFF00
33.9736003377,-81.0438286672,,#FFF00
33.9736356306,-81.0437861036,,#FFF00
33.9738473881,-81.0440414851,,#FFF00
33.9741297313,-81.044254303,,#FFF00
33.9743767816,-81.0445096845,,#FFF00
33.9746944178,-81.0447225023,,#FFF00
33.9748708823,-81.0449778838,,#FFF00
33.9749414681,-81.0448927567,,#FFF00
33.9747297107,-81.0446373752,,#FFF00
33.9744120745,-81.0444671209,,#FFF00
33.9741650242,-81.0442117394,,#FFF00
33.973882681,-81.0439989215,,#FFF00
33.9736709235,-81.0437009764,,#FFF00
33.9737415093,-81.0435732857,,#FFF00
33.9734591661,-81.0434030314,,#FFF00
33.9731768229,-81.0431476499,,#FFF00
33.9729297725,-81.0428922684,,#FFF00
33.9726827222,-81.042636887,,#FFF00
33.9727180151,-81.0425943234,,#FFF00
33.9729650654,-81.0428497049,,#FFF00
33.9732121158,-81.0430625228,,#FFF00
33.973494459,-81.0433179042,,#FFF00
33.9737768022,-81.0435307221,,#FFF00
33.9738473881,-81.0434030314,,#FFF00
33.9740944384,-81.0436584129,,#FFF00
33.9743767816,-81.0438712308,,#FFF00
33.974623832,-81.0441266122,,#FFF00
33.9749061752,-81.0442968666,,#FFF00
33.9751532256,-81.044552248,,#FFF00
33.9751885185,-81.0444671209,,#FFF00
33.9749414681,-81.0442117394,,#FFF00
